LocName,LocatieLocalitate,LocatieDescriere
337. Lacul Jgheburoasa,Nucşoara AG,Lacul Jgheburoasa este un lac din Munţii Făgăraş Sud de origine glaciară a cărui adâncime este de aproximativ 2 metri. Lacul are formă de pară şi în apele sale poate fi întâlnit păstrăvul. Este în afara traseelor montane marcate. Face parte din Rezervaţia Naturală din Munţii Făgăraş.
338. Lacul Laguna Albastră,Aghireş CJ,S-a format pe locul unei exploatări de caolin. În gropile excavate s-a adunat ploaia iar terenul nisipos din jur a fost sculptat de şiroaiele de ploaie.Se spune că în această apă albastră colorată de reziduurile de caolin până prin anii 90 mai găseai şi peşti dar în 1995 în urma unor lucrări balta a secat. Din fericire apa s-a adunat din nou iar pe malul lacului a apărut chiar şi stufărişul. Ţine de satul Aghireş sau Aghireşu.
339. Lacul Leşu,Leş BH,Valea Iadului - peștera cu apa valea Leșului (in apropiere de Oradea). Coada Lacului a devenit din ce în ce mai populată asfel s-a format un adevărat sat de vacanţă unde preţurile terenurilor cresc de la an la an. Drumul forestier care trece pe lângă lac ajunge până la Cabana Stâna de Vale.
340. Lacul Mălaia,Brezoi VL,Pe E81 Sibiu – Râmnicu Valcea se face dreapta la Brezoi( DN 7A ) iar la 25 km se intră în Mălaia
341. Lacul Măneciu,Măneciu PH,Lacul de acumulare constituie unul din punctele de atracție a zonei turistice de pe valea râului Teleajen care se întinde de la stațiunea Cheia până la Vălenii de Munte.
"342. Lacul Mare ",Dognecea CS,Lacul Mare din Dognecea se află la aproximativ 15 km de Reşiţa în judeţul Carş-Severin pe ruta Reşiţa – Bocşa – Ocna de Fier – Dognecea. A fost construit pentru a colecta apa necesară răcirii cuptoarelor de la topitorii. Acum este un loc ideal pentru picnic camping sau câteva ore de relaxare. Se pot închiria bărci dacă vremea permite.
343. Lacul Mărghitaş,Anina CS,Lacul Mărghitaş un lac de acumulare din Munţii Semenicului judeţul Caraş Severin este situat pe râul Buhui (afluent de stânga al Carasului) în aval de Lacul Buhui la o altitudine de 545 metri. Lacul desfăşurat pe o suprafaţă de 4 hectare are formă de săgeată şi este lung de 400 m lat de 100 m iar adâncimea sa maximă atinge 6 m. S-a format în spatele unui baraj de beton construit în anul 1940 înalt de 7 m lung de 30 m şi lat de 15 m fiind amenajat exclusiv în scopuri turistice. Aşadar Lacul Mărghitaş a fost primul lac articifial din ţară construit pentru turism. Lacul este plin de vegetaţie acvatică în apele sale găsindu-se peşti precum linul cleanul sau caracuda. Aria protejată Buhui – Mărghitaş este deosebit de pitorească vizitatorii putând opta pentru drumeţii excursii speologice trasee montane. În staţiunea turistică se pot practica şi activităţi de agrement precum: pescuit plimbări cu barca patinaj (pe timp de iarnă).
344. Lacul Meledic,Mânzăleşti BZ,"Este situat între comunele Lopătari şi Mânzăleşti judeţul Buzău. Există şi o intrare în listă pentru zona turistică Meledic.

Lacul Meledic este singurul lac din Europa cu apă dulce situat într-un munte de sare.
Deşi ne-am fi aşteptat să aibă apă sărată lacul are apă dulce cel mai probabil fiind izolat de sare printr-un strat impermeabil de argilă."
345. Lacul Negovanu,Râu Sadului SB,Pe malul lacului într-un cadru pitoresc se află cabanele de la Gâtul Berbecului iar în apropiere casa de vînătoare Negovanu. Altitudinea 1150 m. Suntem pe cursul superior al Sadului. Este aproape de Parcul Natural Cindrel.
346. Lacul Ochiul Beiului,Sasca Montană CS,Lacul Ochiul Beiului cu o suprafaţă de 284 mp este situat în Munţii Aninei în apropierea Cascadelor Beușniței de pe pârâul Beu în Parcul Național Cheile Nerei-Beușnița.
347. Lacul Ocna Şugatag,Ocna Şugatag MM,Lac sărat pe locul unor foste saline din Maramureş (1787-1822). Este pe dealul care desparte Valea Marei de Valea Cosaului. Este o localitate prezenta in documentele de cancelarie in 1360. Se pare că exploatarea sării se practica acolo încă de pe vremea romanilor. Este pe DN18 care leagă Baia Mare de Sighetu Marmaţiei.
348. Lacul Paltinu,Câmpina PH,"Aproape de Bucuresti cu cazare la cabana sau valea Doftanei lacul este situat în Județul Prahova pe valea râului Doftana în aval de confluența acesteia cu valea Păltinoasa în cheile numite ""La Tocile"". Din Câmpina se face la dreapta (este indicator).
"
349. Lacul Pecineagu,Zărnești BV,Barajul Pecineagu este un baraj de anrocamente de 107m înălține situat pe râul Dâmbovița iar lacul de acumulare Pecineagu este utilizat pentru alimentări cu apă producție de energie hidroelectrică și irigații.
350. Lacul Petrimanu,Brezoi VL,La lac se poate ajunge fie din Polovragi fie din Brezoi; prin Brezoi se continua spre Ciunget; drumul e rau de mers cu masina dar peisajul te face sa uiti acest detaliu
351. Lacul Podragu,Arpaşu de Sus SB,Zona Munţilor Făgăraş. Munţii Făgăraş prezintă o mare densitate de culmi abrupturi vârfuri și înălțimi iar acest lucru a făcut ca ei să poarte şi numele de Alpii Transilvaniei. Lacul Podragu este situat în Munţii Făgăraş în obârşia văii Podragului la poalele Vârfului Podragu (2482 m) la o altitudine de 2140 de metri. Lacul s-a format într-un circ glaciar si este alimentat cu apă pe lângă cea nivo-pluvială dintr-un izvor situat în partea de sud a lacului dar şi din numeroase alte izvoare de suprafaţă răspândite în jurul său. Evacuarea sa se face printr-un singur emisar situat în partea de nord-vest alimentând şi Lacul Podragu Mic. Forma lacului este una ovală are o lungime de 250 de metri şi o lăţime de 190 de metri adâncimea maximă a apei (155 m) fiind măsurată la 40 de metri de malul dinspre Fereastra Podragului. Lacul este populat cu păstrăvi munte. Se poate ajunge la lac doar prin drumeţii montane traseul urmând ruta: Arpaşu de Sus Cabana Arpaşu Mare apoi traseu pe Valea Arpaşului până la pârâul Banului şi poteca marcată cu triunghi roşu până la Cabana Podragu situată pe malul lacului. Se poate alege şi un traseu pornind de pe Şoseaua Transfăgărăşean. Pe lângă Cabana Podragu în aval de aceasta se mai află şi Cabana Turnuri. Lacul face parte din Parcul Natural – Golul Alpin al Munţilor Făgăraş.
352. Lacul Roşiile,Rânca GJ,Parâng - se ajunge cu rucsacul in spate
353. Lacul Roşu,Lacu Roşu HG,Lacul Roșu este un cel mai mare lac de baraj natural format din România. S-a format în 1837 prin surparea unui flanc al Muntelui Ghilcoș. Este situat lângă Cheile Bicazului la poalele lui Hășmașul Mare în apropierea orașului Gheorgheni din județul Harghita. Adâncime maximă: 105 metri.
354. Lacul Scropoasa,Moroeni DB,"Lacul Scropoasa se află în Munții Bucegi pe Valea Ialomiței. Lângă acesta a apărut acumularea Bolboci în apropierea Cheilor Zănoagei. Lacul Scropoasa ocupă o suprafața de 56 600 m2. Lacul Scropoasa alimentează a doua cea mai veche hidrocentrală din țară Hidrocentrala Dobresti construită în anul 1936. În spatele barajului se întinde oglinda verzuie a unui minunat lac de acumulare. Pe un mic platou se află cabana Scropoasa (1206 m) o oază de liniște și ospitalitate. De la Dobrești pînă aici faceți două ore de mers relativ relaxat. 
Este accesibil plecând din com. Moroieni și trecând de cele 3 tabere școlare după care pe traseu marcat prin pădure până la cabană ajungându-se astfel și la cabana cu același nume. De aici se pot face excursii către cabanele Bolboci Cheile Zănoagei Padina Peșteră. Trecerea de pe chei spre lac se face printr-un tunel săpat manual acum 75 de ani de circa 100m (proprietate Hidroelectrica)."
355. Lacul Secu,Secu CS,Lacul de acumulare Secu a fost construit în anul 1963 cu scopul de a alimenta cu apă Reșiţa și de-a o proteja împotriva inundaţiilor. În jurul său s-a ridicat mica staţiune Secu.
356. Lacul Sfânta Ana,Tuşnad HR,"Singurul lac vulcanic din România. Este în masivul Ciomatu de pe stânga Oltului în apropiere de Tușnad. Lacul este așezat pe fundul craterului unui vulcan stins denumit Ciomatu.
Altitudine: 946 m. Are formă aproape circulară similar cu o paletă de pictor are o lungime de 620 m și o lățime maximă de 460 m o suprafață de 1950 ha și o adâncime maximă de 7 m. Lacul își completează apele numai din precipitații neavând izvoare.
Turiștii veniți la lacul Sfânta Ana nu au nevoie de prognozele meteorologilor pentru a afla cum va fi vremea ei având la îndemână o metodă empirică dar exactă oferită de muntele vulcanic: cele două fisuri formate în munte care prevestesc vremea. Localnicii știu că ""Dacă emanațiile din fisuri pișcă la nas atunci e semn de furtună iar dacă nu ziua va fi însorită tocmai potrivită pentru drumeții"". Fenomenul are o explicație științifică. În munte se desfășoară încă o activitate post-vulcanică sensibilă la orice schimbare a presiunii atmosferice. Când presiunea atmosferică scade gazele precum bioxidul de carbon și sulful urcă spre suprafață și inundă fisurile cu un miros înțepător semn că vine ploaia."
357. Lacul şi staţiunea Colibiţa,Colibiţa BN,Barajul Colibița a creat lacul Colibița care este un lac antropic de acumulare din Munții Călimani. Pe malurile lacului se află stațiunea turistică Colibița.
358. Lacul Slăvei,Câmpu lui Neag HD,Zona Munţii Retezat. Un element care sporeşte pitorescul Munţilor Retezat îl reprezintă numeroasele văi şi circuri glacire aflate în spatele unor praguri glaciare sau a unor acumulări morenice. În Retezat se întâlnesc peste 65 de lacuri glaciare cele mai multe dintre ele fiind permanente. Aceste lacuri sunt grupate în mai multe complexe glaciare. Pe versantul sudic al muntelui se află complexele glaciare Judele Lăpuşnicul Mare şi Râul Bărbat. Complexul glaciar Lăpuşnicul Mare cuprinde mai multe circuri dintre care se detaşează Slăveiul Bucura şi Peleaga. Căldarea glaciară a Bucurei cantonează cele mai spectaculoase lacuri glaciare: Lacul Bucura – aflat în şaua Bucurei la 2041 de metri altitudine cu o suprafaţă de 88 hectare şi o adâncime maximă de 157 metri având formă aproximativ dreptunghiulară; Tăul Agăţat – aflat la o altitudine de 2260 de metri şi ocupând un circ suspendat sub Vf. Bucura; Tăul Porţii – pare atârnat de cea mai înaltă treaptă glaciară a Circului Bucura sub Vf. Judele la o altitudine de 2140 de metri (este aproape tot anul acoperit cu gheaţă doar în veriile mai călduroase apa lacului ajunge să se dezgheţe abia în luna august); Lacul Florica – la o altitudine de 1980 de metri iar în imediata lui vecinatate se găsesc alte două mici ochiuri de apă; Lacul Ana – este cel mai mare din această salbă lacustră având o adâncime de 116 metri şi o suprafaţă de 36 hectare; Lacul Lia – este ultimul lac din acest şirag şi se află la o altitudine de 1930 de metri adunând ape ce vin dinspre Bucura şi Lacul Ana. Tot pe flancul sudic al Munţilor Retezat mai pot fi menţionate: Lacul Buta Lacul Turcelu şi Lacul Slăvei. Lacul Slăvei este un mare lac de baraj morenic şi se află în Pintenul Slăveiului.
359. Lacul Stânca (Stînca) Costeşti (judeţul Botoşani),Stânca BT," Una din cele mai mari acumulări de apă de pe teritoriul României; cu o suprafață de 140.000 hă este cel mai mare lac de pe râul Prut și al doilea ca mărime din țară după lacul de la Porțile de Fier; locul este des frecventat de pescari și de arheologi (zona Ripiceni)."
360. Lacul Surduc,Fârdea TM,Lacul Surduc este situate în partea de sud-est a Munţilor Poiana Ruscă la aproximativ 100km de Timișoara și la 30 km de Lugoj fiind cel mai mare lac din judeţul Timiș. Lacul Surduc a apărut ca urmare a construirii în 1972 a barajului Surduc.
361. Lacul Şureanu sau Iezerul Şureanu,Cugir AB,Zona Munţilor Şureanu. Munții Șureanu (Sebeș) au înălțimi relativ medii și mici și ocupă o suprafață destul de întinsă 1585 km². Sunt lipsiți de creste zvelte și de custuri glaciare însă au suprafețe de eroziune întinse iar lacurile naturale ce pot fi găsite aici au origine glaciară și nivală. Lacul Şureanu numit şi Iezerul Șureanu se găsește pe treapta inferioară a circului glaciar din estul Vârfului Șureanu la altitudinea de 1840 de metri având o suprafaţă de 5334 mp un volum de 15750 mc şi o adâncime maximă de 73 metri. Este populat cu păstrăv indigen și se află într-o locație magnifică înconjurat de jnepeni. Este considerat unul din cele mai frumoase lacuri glaciare din România. Arealul acesta a fost inclus în Rezervaţia Naturală Iezerul Şureanu.
362. Lacul Tarniţa,Râșca CJ,Lac de acumulare care se găsește între comunele Râșca Mărișel și Gilău (județul Cluj) la vest de municipiul Cluj-Napoca
363. Lacul Tăurile Pietrele şi Lacul Pietrele,Cârnic HD,Zona Munţii Retezat. Un element care sporeşte pitorescul Munţilor Retezat îl reprezintă numeroasele văi şi circuri glacire aflate în spatele unor praguri glaciare sau a unor acumulări morenice. În Retezat se întâlnesc peste 65 de lacuri glaciare cele mai multe dintre ele fiind permanente. Aceste lacuri sunt grupate în mai multe complexe glaciare cele mai importante fiind: Pietrele Judele şi Lăpuşnicul Mare. Complexul glaciar Pietrele se află dezvoltat pe văile Stânişoarei Pietrele Valea Rea şi Galeşul cu circuri bine dezvoltate văiile prezetand lungumi de 2-6 kilometri. Între acestea Circul şi Valea Pietrele ocupă o parte centrală având în parte superioară un circ larg în se află lacurile Tăutul Pietrelor (Tăurile Pietrele) în număr de trei dispuse sub forma unei salbe la 2100 de metri altitudine iar apoi şi Lacul Pietrele aflat la 1990 de metri altitudine. Lacul Pietrele are aspectul unei cuvete foarte evoluate procesul de colmatare fiind foarte avansat. Din acest motiv Lacul Pietrele este renumit pentru apa lui curată şi îmbietoare. Are o suprafaţă de circa 04 hectare şi o adâncime mai mică de 1 metru fiind dominat de impunătoarele piscuri ale Stânişoarei de Culmea Pitrele şi de şoseaua Bucurei. Zona aceasta este inclusă în traseele montane din Munţii Retezat ce au ca plecare Cabana Pietrele (cu toate că a ars în anul 2007 s-au făcut numeroase reparaţii şi renovări iar cabana poate fi folosită în scop turistic fără nicio grijă).
364. Lacul Trei Ape,Gărâna CS,Lac antropic aflat la confluenţa a 3 pârâuri: Brebu Grădiştea şi Semenic. De la baza lacului izvorăşte Timişul. E în zona Gărâna Caras Severin la 37 km de Resita.
365. Lacul Turcoaia sau Lacul Iacobdeal,Turcoaia TL,Lac într-o fostă carieră de granit. Bun pentru scufundări.
366. Lacul Urlea,Breaza BV,Zona Munţilor Făgăraş. Lacul Urlea face parte din seria lacurilor glaciare din Munţii Făgăraş aflându-se într-un circ lateral la nord de pârâul Bândea (Vf. Triponului 2450 m) la o altitudine de 2192 de metri în apropiere de cabana cu acelaşi nume. Lacul are o suprafata de 19768 mp adâncimea maximă de 44 m lăţimea de 128 m şi lungimea de 222 m. La nord de lac se află o rocă mutonată acoperită cu material morenaic iar la sud s-a dezvoltat o haldă de grohotiş care intră până în lac. Malurile nu sunt acoperite de pietre ci sunt stâncoase. Traseele şi excursiile ce pot fi făcute de la Cabana Urlea duc spre Vârful Urlea (2475 m) – potecă marcată cu triunghi albastru până în Vf. Moşului şi apoi poteă marcată cu punct roşu ce coboară spre Valea Urlei spre Lacul Urlea – din firul Văii Urlei este o potecă nemarcată ce urcă direct la lac. Undeva pe tot acest parcurs Cascada Urlea poate fi un reper de orientare sau un loc de răcorire pe timp de vară. La cabană se poate ajunge prin staţiile C.F.R. (cele mai apropiate sunt: Voila şi Sâmbăta pe linia Braşov – Făgăraş – Sibiu) cu autobuzul (cea mai apropiată staţie este: Pojorta pe traseul Făgăraş – Voila – Voivodeni – Pojorta) sau cu maşina drumurile de acces fiind: 1. din Voila drum de-a lungul râului Breaza distanţa 15 km; 2. din comuna Breaza potecă marcată cu triunghi albastru de-a lungul Văii Breaza apoi pe pârâul Curmăturii durata 4 ore; 3. din Sâmbăta de Jos şosea până în comuna Breaza distanta 15 km.
367. Lacul Ursu,Sovata MS,Cel mai important lac sărat şi helioterm din Europa (zic unii că e cel mai mare din lume); heliotermia = stratificarea termica a apei; primeşte energia termică de la soare; primeşte apă sărată din Lacul Roşu aflat la aprox 100 de metri distanţă. Heliotermia se datoreaza celor două pâraie cu apă dulce care curg deasupra apei sărate; temperaturi de 30-40-50 grade Celsius la o adâncime de 15-2 m (la 1900 ar fi avut si 71 de grade). Tratamente balneare.
368. Lacul Vaduri,Vaduri NT,Lacul Vaduri este un lac de acumulare situat la o altitudine de 350 m pe sectorul de vale transversală a Bistriţei având la nord Munţii Stănişoarei şi la sud Munţii Goşmanu pe raza localităţii Pângărăcior în imediata vecinătate a satelor Scăricica Vadurele Vaduri sau Preluca judeţul Neamţ. Este cel de-al doilea ecosistem lacustru de pe cursul râului Bistriţa aval de hidrocentrala de la Stejaru între lacurile Pângăraţi şi Bâtca Doamnei în unitatea carpatică a munţilor Flişului. S-a format în anii 1965-1966 prin bararea cursului natural al râului Bistriţa în dreptul localităţii Vaduri cu scopul producerii energiei electrice. Lacul are un nivel maxim de 350 m o suprafaţa de 120 de hectare o lungime maximă de 3600 m lăţime maximă de 825 de metri iar în zona barajului adâncimea maximă atinge 15 m şi este alimentat în proporţie de 95% de apa turbinată prin hidrocentrala Pângăraţi dar şi din afluneţii direcţi (pâraiele Pângărăcior şi Bisericani pe partea stângă şi pâraul Secu-Vaduri pe partea dreaptă). Lacul Vaduri a fost desemnat arie de protecţie specială avifaunistică deoarece reprezintă o zonă importantă pentru păsările ce se deplasează pe culoarul de migraţie est carpatic oferind condiţii favorabile de hrană şi adăpost necesare iernatului pentru numeroasele specii migratoare: lebăda de vară raţa mare raţa sunătoare corcodelul mic raţă suliţar raţa roşie raţa cu cap castaniu lebăda de iarnă. Speciile de peşti ce trăiesc aici sunt: oblete stiucă beldiţă ghiborţ biban plătică roşioară boiştean porcuşor păstrăv indigen păstrăv curcubeu etc. În cadrul acestui ecosistem sunt protejate pe lângă numeroasele specii faunistice şi specii floristice unicat. Lacurile Vaduri şi Pângăraţi sunt o verigă importantă în  păstrarea biodiversităţii şi a habitatelor naturale pentru toata zona estică din continentul european. Lacul oferă multiple posibilităţi de petrecere a timpului activităţile de agrement desfăşurate aici fiind făcute în limita impusă de conservarea şi păstrarea ecosistemului.
369. Lacul Valea Uzului,Sălătruc BC,Si-a inceput formarea in 1972 in spatele barajului de beton in semicerc inalt de 80 m pentru a alimenta cu apa potabila si industriala judetul Bacau. Este pe valea râului Uz. Alimentează cu apă Valea Uzului Târgu Ocna Onești Bacău şi câteva comune din aval.
370. Lacul Văliug (Gozna),Văliug CS," Din Reșița: se merge aproximativ 30 km pe drumul spre Semenic (DJ852) în centrul localității Valiug se virează la dreapta în direcția semnalizată Trei Ape. La ieșirea din sat se face dreapta spre lac.  
 Din Slatina-Timiș: se merge pe DJ 852 prin Gârână până în localitatea Valiug unde se virează stânga spre lac. "
371. Lacul Verde,Petroșani HD,Unul din cele mai frumoase și mai impresionante lacuri din Munții Parâng posibil datorită radiațiilor de lumină de o nuață coloristică deosebită reflectată de apa cristalină.
372. Lacul Vulturilor,Buzău BZ,Lacul Vulturilor sau Lacul fără Fund se găsește pe partea estică a versantului Mălâia la altitudinea de 1.420 m în Munții Siriului; la lac se poate ajunge prin Valea Neagra pe un traseu de 3 ore: plecare din Gura Siriului (520 m) se trece prin valea Milea și se ajunge la Lacul Vulturilor
373. Lacul Zănoaga,Râuşor HD,"Lacul Zănoaga Mare sau Tăul Zănoaga este un lac glaciar situat în Munții Retezat. Este cel mai adânc lac de acest tip din țară adâncimea lui maximă fiind de 29 m. La lac se poate ajunge pe mai multe trasee marcate: de la Gura Zlată de la Gura Apei sau de la Lacul Bucura. Timpul de parcurs din orice direcţie este ~ 3-5h. 
În apropierea lacului este si un refugiu salvamont. "
374. Lacul Zănoaga Mare,Rânca GJ,Parâng Valea Lotrului
375. Lacul Zaton,Baia de Arama MH,Lacul Zaton (lac temporar) este situat in depresiunea din amonte de Pestera Ponoarele din Podisul Mehedinti. Lacul are momente cand este plin ochi dar si momente in timpul verii in care seaca complet.
376. Lacurile sărate Durgău din Turda,Turda CJ,Zona curativă si de agrement cu 6 lacuri de la Durgău-Valea Sărată se află la nord de municipiul Turda. Cele 6 lacuri s-au format prin umplerea cu apă a unor foste mine de sare prăbușite: lacul Carolina lacul Durgău lacul Dulce lacul Ocnei lacul Rotund lacul Sulfuros
377. Lăpugiu de Jos,Lăpugiu de Jos HD,Lăpugiu de Jos este o comună în județul Hunedoara Transilvania România. Are în componență 10 sate: Lăpugiu de Jos (reședință) Baștea Cosești Fintoang Grind Holdea Lăpugiu de Sus lăsău Ohaba și Teiu.
378. Lechinţa (Mureş locul de baştină a lui Ion Vlasiu sculptor),Lechința MS,Ion Vlasiu s-a născut la Lechinţa de Mureş în anul 1908 şi a rămas toată viaţa legat sufleteşte de locurile natale. A avut intenţia de a lăsa un semn un monument comemorativ intenţie pe care i-a împărtăşit-o sculptorului Gheorge Mureşan cu decenii în urmă dar pe care nu a reuşit să o pună în operă înainte de dispariţia sa.
379. Locul fosilifer cu dinozauri Sânpetru,Sânpetru HD,"Situl fosilifer cu dinozauri Sânpetru este o arie protejată de interes național care corespunde categoriei a IV-a IUCN (rezervație naturală de tip paleontologic) inclusă în Geoparcul Dinozaurilor ""Țara Hațegului”. Cu o suprafață de 5 ha situată în bazinul Depresiunii Hațeg pe teritoriul satului Sânpetru comuna Sântămăria-Orlea paleofauna reptiliană de la Sânpetru este reprezentată de specii de dinozauri crocodili broaște țestoase."
380. Magazia cu Cazemate,Timișoara TM,O bucată din zidul Cetății Timișoara. În prezent este galerie de artă.
381. Mănăstire Nămăiești (Nămăești),Nămăești AG,Nu se cunosc prea multe date despre biserica săpată în stâncă începuturile sale identificându-se cu descoperirea icoanei Maicii Domnului făcătoare de minuni care datează din vremea lui Negru Vodă. După unii istorici acest locaș ar fi fost o catacombă creștină de pe timpul romanilor după alții un templu închinat zeului Zamolxes. Biserica a suferit mari stricăciuni în urma bombardamentelor din Primul Război Mondial.
382. Mănăstirea Agapia,Agapia NT,"Mănăstirea Agapia (denumită și Mănăstirea Agapia Nouă pentru diferențiere de Schitul Agapia Veche) este o mănăstire ortodoxă de maici din România situată pe valea pârâului Agapia la o distanță de 9 km de orașul Târgu Neamț. Ea se află amplasată în mijlocul unei păduri aflată la o distanță de 3 km de satul Agapia (județul Neamț). Este una dintre cele mai mari mănăstiri de maici din România având 300-400 maici și aflându-se pe locul doi ca populație după Mănăstirea Văratec. Mănăstirea a fost construită între anii 1641-1643. Arhitectura bisericii nu are un stil specific. Ceea ce conferă o deosebită valoare acestui monument sunt frescele pictate de Nicolae Grigorescu în perioada 1858-1861.
"
383. Mănăstirea Arnota,Bistriţa VL,"Inițial mănăstire de călugări din anul 1999 se transformă în mănăstire de maici dependentă de stăreția Mănăstirii Bistrița (județul Vâlcea).
Este construită de domnitorul Matei Basarab între anii 1633-1634. Se află pe un versant de munte vis-a vis de mănăstirea Bistrița. Este foarte greu de ajuns datorită cotei ridicate unde se află. În prezent accesul auto este favorizat de șoseaua de acces a carierei de calcar existentă lângă lăcaș. Studiile au constatat că este construită pe locul unde au mai existat biserici."
384. Mănăstirea Bistriţa,Bistriţa VL,"Mănăstirea Bistrița ctitorie a boierilor Craiovești (Barbu Banul Craiovei și frații săi Pârvu vornicul Danciu armașul și Radu postelnicul) a fost zidită între anii 1492-1494. Ea se află în satul Bistrița aparținând de comuna Costești din județul Vâlcea pe pitoreasca vale a râului cu același nume. Prima atestare documentară a sa este un act din 16 martie 1494 al lui Vlad Călugărul.
Mănăstirea a fost distrusă din temelii de către Mihnea Vodă la 1509. Un document al vremii specifică că Mihnea Vodă care lupta împotriva Craioveștilor ""și mănăstirea lor carea o făcuse ei pre râul Bistriții din temelie o au risipit"".
Este refăcută în timpul lui Neagoe Basarab între 1515 - 1519 tot de către boierii Craiovești.
Marele ban Barbu Craiovescu al Olteniei aduce de la Constantinopol cea mai de preț comoară a lăcașului moaștele Sfântului Grigorie Decapolitul. Trupul sfântului nu a putrezit niciodată și s-a dovedit purtător de mari daruri: vindecă bolile trupești și sufletești aduc ploaia pe timp de secetă lucru ce face ca lăcașul să fie asaltat de numeroși pelerini. Legenda spune că moaștele sfântului au fost cumpărate de Barbu Croiovescu de la un turc cu aur.Turcul bănuia că va lua o sumă importantă echivalentă cu greutatea moaștelor. Însă dragostea banului față de moaște are alt deznodământ: așezate pe un taler întradevăr cântăresc greu dar când banul Craiovescu pune galbenii talerul se echilibrează la o sumă mică. Acest lucru face ca turcul să exclame:""Vezi vezi cum creștin la creștin trage"". Se mai spune că la 1763 când epidemia de ciumă cuprinsese Bucureștiul este adusă racla cu moaștele Sfântului Grigorie Decapolitul în fața Mitropoliei iar în urma rugăciunilor ținute ciuma a început să dea înapoi dispărând definitiv. În anul 1656 Constantin Voievod donează o raclă de argint în care să fie așezate sfintele moaște."
385. Mănăstirea Bucovăț,Craiova DJ,La 5 kilometri de Craiova și reprezintă un monument de artă medievală ridicat între 1506-1512; are o cronică murală unică în Țara Românească.
386. Mănăstirea Călugăra,Oraviţa CS,"Mănăstirea Călugăra datează din anul 1858 când auzul cântărilor sfinte ce răsăreau din stâncă l-a îndemnat pe teologul Alexie Nedici din Ciclova Montană să ctitorească aici o mănăstire. Mai mult decât atât în aceste locuri binecuvântate a existat din totdeauna în conştiinţa localnicilor existenţa unui loc binecuvântat unde pusnicii îşi alinau setea de Dumnezeu drept pentru care credincioşii au numit aceste locuri Valea Călugărului. Confirmarea acestor tradiţii au făcut-o Sfintele Moaşte pietrificate şi icoana făcătoare de minuni a Maicii Domnului care au fost găsite aici presupunându-se că a fost pictată la Muntele Athos şi adusă în aceste locuri. Aceste lucruri au determinat intrarea în cinul monahal a teologului Alexie Nedici care cu îngăduinţa Episcopului Emilian Kenghelaţporneşte în februarie demersurile ctitoririi acestei sfinte mănăstiri. Definitivarea şi sfinţirea mănăstirii s-a făcut cu mare fast la data de 1 octombrie 1861 de către Episcopul Emilian Kenghelaţ din Vârşeţ hramul dăruindu-se ""Acoperământul Maicii Domnului”. "
387. Mănăstirea Cârţa,Cârţa SB,Mănăstirea Cârța a fost în evul mediu un așezământ monahal cistercian din Țara Făgărașului mănăstire filială a Abației Igriș. Înființarea mănăstirii de la Cârța a fost datată în anul 1202 în orice caz în timpul regelui Emeric. Ulterior regele Andrei al II-lea al Ungariei a prevăzut anumite privilegii pentru acest așezământ. Regele Matia Corvin a desființat mănăstirea în data de 27 februarie 1474 iar bunurile ei le-a transferat Bisericii Prepoziturii din Sibiu. Ansambul mănăstirii se află în stare de ruină doar o capelă fiind folosită până în prezent de comunitatea evanghelică săsească.
